Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9070.0	0.0	7070.0	0.0	2000.0	0.0	77.95	0.0	22.05
2	16000.0	5000.0	5000.0	1000.0	5000.0	31.25	31.25	6.25	31.25
3	22000.0	4000.0	6000.0	0.0	12000.0	18.18	27.27	0.0	54.55
4	17000.0	3000.0	10000.0	0.0	4000.0	17.65	58.82	0.0	23.53
5	17000.0	5000.0	8000.0	1000.0	3000.0	29.41	47.06	5.88	17.65
6	17000.0	5000.0	8000.0	2000.0	2000.0	29.41	47.06	11.76	11.76
7	20000.0	6000.0	8000.0	2000.0	4000.0	30.0	40.0	10.0	20.0
8	14000.0	4000.0	6000.0	1000.0	3000.0	28.57	42.86	7.14	21.43
9	19000.0	5000.0	9000.0	1000.0	4000.0	26.32	47.37	5.26	21.05
10	15000.0	2000.0	9000.0	1000.0	3000.0	13.33	60.0	6.67	20.0
11	17000.0	4000.0	5000.0	0.0	8000.0	23.53	29.41	0.0	47.06
12	10000.0	1000.0	5000.0	3000.0	1000.0	10.0	50.0	30.0	10.0
13	12000.0	1000.0	3000.0	1000.0	7000.0	8.33	25.0	8.33	58.33
14	16000.0	5000.0	8000.0	1000.0	2000.0	31.25	50.0	6.25	12.5
15	14000.0	3000.0	6000.0	0.0	5000.0	21.43	42.86	0.0	35.71
16	10000.0	5000.0	2000.0	-1000.0	4000.0	50.0	20.0	-10.0	40.0
17	18000.0	6000.0	5000.0	0.0	7000.0	33.33	27.78	0.0	38.89
18	13000.0	2000.0	8000.0	1000.0	2000.0	15.38	61.54	7.69	15.38
19	13000.0	5000.0	4000.0	2000.0	2000.0	38.46	30.77	15.38	15.38
20	17000.0	4000.0	7000.0	0.0	6000.0	23.53	41.18	0.0	35.29
21	30000.0	5000.0	9000.0	1000.0	15000.0	16.67	30.0	3.33	50.0
22	22000.0	3000.0	2000.0	3000.0	14000.0	13.64	9.09	13.64	63.64
23	17000.0	4000.0	6000.0	1000.0	6000.0	23.53	35.29	5.88	35.29
24	17000.0	5000.0	8000.0	2000.0	2000.0	29.41	47.06	11.76	11.76
25	9000.0	4000.0	2000.0	0.0	3000.0	44.44	22.22	0.0	33.33
26	14000.0	5000.0	6000.0	0.0	3000.0	35.71	42.86	0.0	21.43
27	16000.0	4000.0	7000.0	0.0	5000.0	25.0	43.75	0.0	31.25
28	9300.0	4000.0	5000.0	0.0	300.0	43.01	53.76	0.0	3.23
29	4700.0	700.0	3000.0	0.0	1000.0	14.89	63.83	0.0	21.28
