Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	8500.0	0.0	6500.0	0.0	2000.0	0.0	76.47	0.0	23.53
2	15000.0	5000.0	6000.0	0.0	4000.0	33.33	40.0	0.0	26.67
3	18000.0	0.0	11000.0	0.0	7000.0	0.0	61.11	0.0	38.89
4	17000.0	1000.0	13000.0	1000.0	2000.0	5.88	76.47	5.88	11.76
5	32600.0	4000.0	20000.0	0.0	8600.0	12.27	61.35	0.0	26.38
6	11400.0	2400.0	5000.0	2000.0	2000.0	21.05	43.86	17.54	17.54
7	22000.0	5000.0	10000.0	0.0	7000.0	22.73	45.45	0.0	31.82
8	15000.0	4000.0	6000.0	1000.0	4000.0	26.67	40.0	6.67	26.67
9	12000.0	4000.0	5000.0	200.0	2800.0	33.33	41.67	1.67	23.33
10	16000.0	3000.0	8000.0	0.0	5000.0	18.75	50.0	0.0	31.25
11	22000.0	4000.0	9000.0	0.0	9000.0	18.18	40.91	0.0	40.91
12	17000.0	0.0	5000.0	1000.0	11000.0	0.0	29.41	5.88	64.71
13	13000.0	3000.0	8000.0	0.0	2000.0	23.08	61.54	0.0	15.38
14	25000.0	5000.0	9000.0	0.0	11000.0	20.0	36.0	0.0	44.0
15	15000.0	4000.0	9000.0	0.0	2000.0	26.67	60.0	0.0	13.33
16	15000.0	5000.0	5000.0	1000.0	4000.0	33.33	33.33	6.67	26.67
17	20000.0	4000.0	11000.0	1000.0	4000.0	20.0	55.0	5.0	20.0
18	20000.0	0.0	14000.0	0.0	6000.0	0.0	70.0	0.0	30.0
19	14000.0	1000.0	10000.0	0.0	3000.0	7.14	71.43	0.0	21.43
20	14000.0	4000.0	7000.0	0.0	3000.0	28.57	50.0	0.0	21.43
