Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	9270.0	0.0	7270.0	0.0	2000.0	0.0	78.43	0.0	21.57
2	18000.0	4000.0	7000.0	0.0	7000.0	22.22	38.89	0.0	38.89
3	8000.0	0.0	5000.0	0.0	3000.0	0.0	62.5	0.0	37.5
4	21000.0	5000.0	8000.0	1000.0	7000.0	23.81	38.1	4.76	33.33
5	18000.0	0.0	8000.0	2000.0	8000.0	0.0	44.44	11.11	44.44
6	14000.0	0.0	7000.0	1000.0	6000.0	0.0	50.0	7.14	42.86
7	12000.0	2000.0	5000.0	1000.0	4000.0	16.67	41.67	8.33	33.33
8	13000.0	1000.0	8000.0	2000.0	2000.0	7.69	61.54	15.38	15.38
9	18000.0	5000.0	7000.0	1000.0	5000.0	27.78	38.89	5.56	27.78
10	12000.0	3000.0	5000.0	1000.0	3000.0	25.0	41.67	8.33	25.0
11	20000.0	4000.0	6000.0	0.0	10000.0	20.0	30.0	0.0	50.0
12	13000.0	1000.0	6000.0	2000.0	4000.0	7.69	46.15	15.38	30.77
13	16000.0	1000.0	10000.0	1000.0	4000.0	6.25	62.5	6.25	25.0
14	21000.0	5000.0	8000.0	1000.0	7000.0	23.81	38.1	4.76	33.33
15	23000.0	2000.0	2000.0	15000.0	4000.0	8.7	8.7	65.22	17.39
16	20000.0	1000.0	12000.0	1000.0	6000.0	5.0	60.0	5.0	30.0
17	12000.0	1000.0	7000.0	1000.0	3000.0	8.33	58.33	8.33	25.0
18	60000.0	5000.0	10000.0	1000.0	44000.0	8.33	16.67	1.67	73.33
