Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	10400.0	0.0	7400.0	0.0	3000.0	0.0	71.15	0.0	28.85
2	18000.0	0.0	11000.0	0.0	7000.0	0.0	61.11	0.0	38.89
3	30000.0	0.0	15000.0	1000.0	14000.0	0.0	50.0	3.33	46.67
4	24000.0	4000.0	6000.0	1000.0	13000.0	16.67	25.0	4.17	54.17
5	18000.0	0.0	9000.0	1000.0	8000.0	0.0	50.0	5.56	44.44
6	11000.0	0.0	6000.0	1000.0	4000.0	0.0	54.55	9.09	36.36
7	17000.0	0.0	13000.0	1000.0	3000.0	0.0	76.47	5.88	17.65
8	19000.0	0.0	13000.0	1000.0	5000.0	0.0	68.42	5.26	26.32
9	47000.0	5000.0	7000.0	6000.0	29000.0	10.64	14.89	12.77	61.7
10	13000.0	5000.0	4000.0	0.0	4000.0	38.46	30.77	0.0	30.77
11	20000.0	6000.0	6000.0	1000.0	7000.0	30.0	30.0	5.0	35.0
12	21000.0	5000.0	6000.0	1000.0	9000.0	23.81	28.57	4.76	42.86
13	20000.0	5000.0	8000.0	1000.0	6000.0	25.0	40.0	5.0	30.0
14	20000.0	5000.0	3000.0	1000.0	11000.0	25.0	15.0	5.0	55.0
15	18000.0	5000.0	7000.0	1000.0	5000.0	27.78	38.89	5.56	27.78
16	18000.0	4000.0	9000.0	1000.0	4000.0	22.22	50.0	5.56	22.22
17	22000.0	4000.0	9000.0	3000.0	6000.0	18.18	40.91	13.64	27.27
18	20000.0	4000.0	8000.0	2000.0	6000.0	20.0	40.0	10.0	30.0
19	24000.0	1000.0	9000.0	6000.0	8000.0	4.17	37.5	25.0	33.33
20	18000.0	5000.0	5000.0	4000.0	4000.0	27.78	27.78	22.22	22.22
21	15000.0	1000.0	7000.0	3000.0	4000.0	6.67	46.67	20.0	26.67
22	17000.0	2000.0	12000.0	1000.0	2000.0	11.76	70.59	5.88	11.76
