Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	8450.0	0.0	6450.0	1000.0	1000.0	0.0	76.33	11.83	11.83
2	15000.0	0.0	12000.0	1000.0	2000.0	0.0	80.0	6.67	13.33
3	16000.0	5000.0	8000.0	0.0	3000.0	31.25	50.0	0.0	18.75
4	15000.0	5000.0	6000.0	2000.0	2000.0	33.33	40.0	13.33	13.33
5	15000.0	4000.0	6000.0	1000.0	4000.0	26.67	40.0	6.67	26.67
6	16000.0	4000.0	6000.0	2000.0	4000.0	25.0	37.5	12.5	25.0
7	11000.0	3000.0	4000.0	2000.0	2000.0	27.27	36.36	18.18	18.18
8	18000.0	6000.0	4000.0	3000.0	5000.0	33.33	22.22	16.67	27.78
9	22000.0	0.0	14000.0	3000.0	5000.0	0.0	63.64	13.64	22.73
10	14000.0	0.0	10000.0	1000.0	3000.0	0.0	71.43	7.14	21.43
11	13000.0	4000.0	5000.0	2000.0	2000.0	30.77	38.46	15.38	15.38
12	19000.0	4000.0	8000.0	3000.0	4000.0	21.05	42.11	15.79	21.05
13	16000.0	4000.0	8000.0	1000.0	3000.0	25.0	50.0	6.25	18.75
14	23000.0	6000.0	8000.0	4000.0	5000.0	26.09	34.78	17.39	21.74
15	18000.0	4000.0	9000.0	3000.0	2000.0	22.22	50.0	16.67	11.11
16	13000.0	5000.0	6000.0	1000.0	1000.0	38.46	46.15	7.69	7.69
17	23000.0	3000.0	17000.0	0.0	3000.0	13.04	73.91	0.0	13.04
18	19000.0	6000.0	6000.0	2000.0	5000.0	31.58	31.58	10.53	26.32
19	17000.0	0.0	13000.0	3000.0	1000.0	0.0	76.47	17.65	5.88
20	11000.0	3000.0	3000.0	2000.0	3000.0	27.27	27.27	18.18	27.27
21	20000.0	2000.0	12000.0	3000.0	3000.0	10.0	60.0	15.0	15.0
22	21000.0	0.0	14000.0	4000.0	3000.0	0.0	66.67	19.05	14.29
23	16000.0	4000.0	9000.0	1000.0	2000.0	25.0	56.25	6.25	12.5
24	17000.0	5000.0	4000.0	7000.0	1000.0	29.41	23.53	41.18	5.88
25	16000.0	7000.0	2000.0	5000.0	2000.0	43.75	12.5	31.25	12.5
26	21000.0	7000.0	7000.0	3000.0	4000.0	33.33	33.33	14.29	19.05
27	31000.0	1000.0	13000.0	1000.0	16000.0	3.23	41.94	3.23	51.61
